total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,median_pnl,max_pnl,min_pnl,avg_return,avg_duration,avg_max_dd,max_dd,profit_factor,sharpe_ratio,tp,sl,tsl,strategy_id
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.2,0.15,0.05,TP20_SL15_TSL5
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.2,0.05,1.0,TP20_SL5_TSL100
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,5.0,0.2,0.15,TP500_SL20_TSL15
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.3,0.2,TP20_SL30_TSL20
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,0.7,0.5,0.1,TP70_SL50_TSL10
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,0.3,0.7,TP70_SL30_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,3.0,0.5,0.2,TP300_SL50_TSL20
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.5,0.5,0.3,TP150_SL50_TSL30
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,5.0,0.7,0.3,TP500_SL70_TSL30
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.1,0.7,0.05,TP10_SL70_TSL5
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,0.7,0.5,TP70_SL70_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,5.0,0.5,1.0,TP500_SL50_TSL100
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.3,0.2,0.05,TP30_SL20_TSL5
1,1,0,100.0,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,6240,13.234576874275797,13.234576874275797,inf,0,0.1,0.15,0.15,TP10_SL15_TSL15
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.3,0.15,0.5,TP30_SL15_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.5,0.5,0.7,TP150_SL50_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,3.0,0.7,0.3,TP300_SL70_TSL30
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.3,0.05,0.05,TP30_SL5_TSL5
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,1.5,0.5,0.1,TP150_SL50_TSL10
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,1.5,0.05,0.05,TP150_SL5_TSL5
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.0,1.0,0.2,TP100_SL100_TSL20
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.15,1.0,TP20_SL15_TSL100
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,0.3,0.15,0.15,TP30_SL15_TSL15
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,1.0,0.3,TP70_SL100_TSL30
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.7,0.5,TP20_SL70_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.5,0.15,0.5,TP50_SL15_TSL50
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,3.0,0.7,0.1,TP300_SL70_TSL10
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.7,0.7,0.05,TP70_SL70_TSL5
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.5,0.7,1.0,TP150_SL70_TSL100
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.1,0.2,0.05,TP10_SL20_TSL5
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.5,0.15,1.0,TP50_SL15_TSL100
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,3.0,0.3,0.5,TP300_SL30_TSL50
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,0.7,0.1,0.15,TP70_SL10_TSL15
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,5.0,0.7,0.15,TP500_SL70_TSL15
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,2.0,0.1,0.3,TP200_SL10_TSL30
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,1.0,0.05,0.5,TP100_SL5_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.3,0.3,0.2,TP30_SL30_TSL20
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.7,0.1,0.05,TP70_SL10_TSL5
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,2.0,0.05,0.5,TP200_SL5_TSL50
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,0.5,0.5,0.1,TP50_SL50_TSL10
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,3.0,0.5,1.0,TP300_SL50_TSL100
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,0.3,0.1,0.15,TP30_SL10_TSL15
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.3,0.05,0.5,TP30_SL5_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,5.0,0.15,0.3,TP500_SL15_TSL30
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,1.5,0.5,0.2,TP150_SL50_TSL20
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.5,0.3,TP20_SL50_TSL30
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.2,0.3,1.0,TP20_SL30_TSL100
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,3.0,0.7,0.5,TP300_SL70_TSL50
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,3.0,0.1,0.05,TP300_SL10_TSL5
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,1.5,0.05,0.2,TP150_SL5_TSL20
